id,profileName,text,date,title,rating,images,helpful,Colour
R1BI9N1D7ECEA3,Dinesh,good,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 2 June 2023,Good,4,,0,Grey Dazzle
RNWWNASZ3F00T,Shailza shukla,If planning to buy a semi automatic washing machine then this is good for the price. The problem is just the outlet pipe which is small and also it doesn't hang up on the hook provided. Else great product.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 19 May 2023,Value for money.,4,,1,Grey Dazzle
R2RCRF2G9B3H8H,Mohamed Sulaiman M,It is running Noisy.But washing the clothes like other brand washing Machine,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 7 May 2023,Running Noisy,4,,0,Grey Dazzle
R11C371VH0YHYR,Amaan,Ok,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 8 May 2023,Ok,4,,0,Grey Dazzle
R38TKTFSEEWVRQ,Suresh,It is cost effective model so it's body part are light,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 26 April 2023,Whirlpool washing Machine semi automatic,4,,2,Grey Dazzle
R1UTZJRQ3RD0S8,Anoop,Buzzer is not there. Otherwise it is completely fine to use.  Sharing review after 3 months of its use.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 21 April 2023,Good for daily use,4,,3,Grey Dazzle
RHJ00Q6Q4PSAM,Paul Gobburi,Good with all the provided functions,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 22 April 2023,Nice product,4,,0,Grey Dazzle
R2XNCFNWBJG8HJ,TJ,"This is the first time I've ever used a semiautomatic washer/dryer instead of an automatic set and it is very easy.I live upstairs and could move the machine up the stairs with ease. There are a couple things I wish I knew beforehand though.1. There is hose that comes with it but it doesn't fit my water spout so I have to fill a bucket of water to dump into the washer.2. The dryer doesn't heat the clothes to dry, it only spins really fast to get excess water out.3. It doesn't rinse the clothes at all. I do a second wash cycle without soap after ringing the clothes out to rinse.4. The dryer is incredibly small compared to the washer. I doubt I could fit a comforter inside it.5. The dryer doesn't necessarily dry the clothes. It gets rid of excess water as stated before so after the drying cycle you still have to hang the damp clothes. During rainy season it'd be more difficult to get dry clothes but in the spring/summer months it's easy.6. Although it comes with a lint trap, it doesn't get any lint off the clothes so I'm going to have to invest in a lint roller. Which isn't a big deal, just a minor inconvenience.Overall it isn't noisy and beats doing laundry by hand. Also I feel the dyer cuts the outside drying time down by over 80%",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 3 April 2023,"Good, but I would have wanted to know...",3,"https://m.media-amazon.com/images/I/71LaH-nOChL.jpg
https://m.media-amazon.com/images/I/81GgAKEGazL.jpg",6,Grey Dazzle
R1PE67EIHKK6TI,Abhishek,"If you are looking for a light washing machine for small loads with lesser power consumption figures, Yes u can definitely go for this at this price.",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 22 May 2023,Overall a good buy,5,,0,Grey Dazzle
RP4I627R7P1BX,Mohammed,Good working value for money,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 9 June 2023,Good,3,,0,Grey Dazzle
